tau,f1,tp,fp,fn
7.076829697243822e-06,0.0010159969719305934,51,100292,0
7.102148845102583e-06,0.0011559252501671556,51,88139,0
7.118501225588795e-06,0.0014000796123701152,51,72751,0
7.1186958763819526e-06,0.0015170895677782074,51,67132,0
7.143820373447555e-06,0.0015172701038288757,51,67124,0
7.144015024240712e-06,0.0016961271762808256,51,60035,0
7.144493273940486e-06,0.001697030197154979,51,60003,0
7.160367404726927e-06,0.0017383598063944374,51,58574,0
7.1698124217992455e-06,0.0017384486901982174,51,58571,0
7.185686552585687e-06,0.0017901646249429606,51,56876,0
7.18616480228546e-06,0.0017902588854760858,51,56873,0
7.210020959896992e-06,0.0018089596708402796,51,56284,0
7.21148395014422e-06,0.0018107580330197052,51,56228,0
7.2353401077557515e-06,0.0018338397367900613,51,55519,0
7.251692488241966e-06,0.001836514223982715,51,55438,0
7.251887139035121e-06,0.0018375067555395426,51,55408,0
7.277011636100726e-06,0.0018379703041660662,51,55394,0
7.277206286893881e-06,0.001839793654515611,51,55339,0
7.277684536593657e-06,0.0018408561785991445,51,55307,0
7.293558667380096e-06,0.0018836217244372218,51,54049,0
7.303003684452417e-06,0.0018838304552590266,51,54043,0
7.3188778152388565e-06,0.0019339059211648938,51,52641,0
7.319356064938629e-06,0.001934089271493041,51,52636,0
7.34467521279739e-06,0.001955971465828028,51,52046,0
7.396515978439875e-06,0.0019788150389942966,51,51444,0
7.4218351262986346e-06,0.0021420471250367507,51,47516,0
7.438187506784849e-06,0.0023446119897020962,51,43402,0
7.438382157578006e-06,0.0024344837462408706,51,41796,0
7.463506654643609e-06,0.002434658073755818,51,41793,0
7.463701305436767e-06,0.0025317712470214458,51,40186,0
7.464179555136539e-06,0.0025320854951220114,51,40181,0
7.480053685922979e-06,0.002562685292196372,51,39700,0
7.4894987029953e-06,0.002562878464283022,51,39697,0
7.505372833781739e-06,0.0025913317412733093,51,39260,0
7.505851083481512e-06,0.002591529256332732,51,39257,0
7.526058578966868e-06,0.0026031697419799404,51,39081,0
7.529707241093046e-06,0.002652244006448593,51,38356,0
7.531170231340272e-06,0.0026534169246377566,51,38339,0
7.551377726825628e-06,0.0026658303277403163,51,38160,0
7.555026388951806e-06,0.00275036401876719,51,36984,0
7.567730107311842e-06,0.002752367845867401,51,36957,0
7.567924758105e-06,0.0027944439878359495,51,36399,0
7.571378769438018e-06,0.0027945205479452057,51,36398,0
7.571573420231176e-06,0.002795746080473632,51,36382,0
7.591066702720038e-06,0.0027963592499177545,51,36374,0
7.593049255170603e-06,0.002836248366376554,51,35861,0
7.59324390596376e-06,0.0029154518950437317,51,34884,0
7.593722155663533e-06,0.0029157852609913667,51,34880,0
7.596697917296779e-06,0.0029218826090692943,51,34807,0
