pump_index,fold
0,4
1,0
2,3
3,3
4,2
5,0
6,3
7,2
8,0
9,2
10,0
11,4
12,1
13,0
14,1
15,2
16,1
17,4
18,0
19,1
20,0
21,2
22,2
23,4
24,4
25,0
26,1
27,4
28,2
29,3
30,4
31,0
32,4
33,2
34,2
35,0
36,2
37,2
38,1
39,1
40,1
41,1
42,4
43,1
44,1
45,4
46,2
47,4
48,3
49,2
50,0
51,3
52,1
53,4
54,2
55,3
56,1
57,2
58,0
59,1
60,4
62,4
63,3
64,2
65,2
66,4
67,3
68,3
69,4
70,3
71,2
72,3
73,1
74,2
75,4
76,1
77,1
78,3
79,4
80,1
81,1
82,3
83,3
84,1
85,4
86,0
87,2
88,0
89,1
90,2
91,1
92,4
93,4
94,0
95,2
96,4
98,2
99,0
100,1
101,0
102,4
103,0
104,1
105,2
106,1
107,3
108,3
109,0
110,1
111,3
112,0
113,2
114,4
115,0
116,2
117,2
118,3
119,1
120,4
121,3
122,3
123,0
124,0
125,1
126,4
127,4
128,0
129,0
130,3
131,0
132,0
133,2
134,4
135,4
136,4
137,0
138,2
139,3
140,1
141,2
142,1
143,4
144,3
145,2
146,1
147,1
148,3
149,3
151,3
152,2
154,4
155,4
156,2
157,4
158,2
159,4
160,4
161,1
162,2
163,4
164,1
165,1
166,0
167,3
168,2
169,0
170,2
171,4
172,0
173,1
174,2
175,3
176,0
177,1
178,4
179,4
180,3
181,1
182,3
183,1
184,2
185,0
186,4
187,0
188,1
189,3
190,4
191,2
192,3
193,4
194,0
195,1
196,2
197,3
198,0
199,2
200,3
201,0
202,0
203,0
204,2
205,2
206,3
207,2
208,1
209,4
210,3
211,2
212,2
213,0
214,3
215,3
216,3
217,2
218,0
219,0
220,3
221,0
222,0
223,4
224,2
225,0
226,3
227,1
228,0
229,0
230,3
231,3
232,3
233,1
234,0
236,4
237,2
238,0
239,3
240,2
241,0
242,3
243,2
244,1
245,3
248,3
249,1
250,2
252,2
253,0
254,4
255,4
256,4
257,1
258,3
259,4
260,3
261,3
262,2
263,1
264,2
265,1
266,1
267,0
268,0
269,3
270,0
271,0
272,3
273,0
274,3
275,2
276,2
277,1
278,1
279,1
280,4
281,2
282,4
283,4
284,3
285,1
286,1
287,1
288,1
289,1
290,3
291,4
292,0
293,1
294,4
295,0
296,4
297,4
300,3
301,1
302,4
303,2
304,4
305,2
306,2
307,2
308,1
309,2
310,4
311,3
312,0
313,0
314,0
315,3
316,0
317,3
318,3
319,3
320,4
321,4
322,2
323,0
324,1
325,0
326,1
328,3
329,3
330,3
331,2
332,2
333,4
334,4
335,3
336,3
