tau,f1,tp,fp,fn
9.284807602251151e-06,0.0013585247427608243,81,119085,0
9.378467454643223e-06,0.002127967003375849,81,75967,0
9.399502285005657e-06,0.0023343275839709503,81,69237,0
9.49316213739773e-06,0.0025780578630764826,81,62676,0
9.537296029515187e-06,0.002615645434729959,81,61773,0
9.558330859877621e-06,0.0029260891554078465,81,55202,0
9.651990712269693e-06,0.0029265120312161287,81,55194,0
9.688235899373043e-06,0.0029824367612945987,81,54156,0
9.781895751765117e-06,0.0032327586206896556,81,49950,0
9.847064474245005e-06,0.0032734547071066296,81,49327,0
9.940724326637079e-06,0.003274116291760141,81,49317,0
9.954488131820529e-06,0.003321986630029119,81,48604,0
1.003869240454937e-05,0.0035811393328470057,81,45075,0
1.0048147984212601e-05,0.003851548940824041,81,41899,0
1.0153387087303877e-05,0.003899667806075779,81,41380,0
1.0206976559084563e-05,0.00394650295987722,81,40887,0
1.0357916428942421e-05,0.004000493888134338,81,40333,0
1.0442120701671263e-05,0.0040985680311693565,81,39364,0
1.0451576281334493e-05,0.004128756021102531,81,39075,0
1.0516745003814384e-05,0.004145024691042142,81,38921,0
1.0526959054764111e-05,0.0041453428863868986,81,38918,0
1.0610404856206455e-05,0.00420976040746323,81,38320,0
1.0620618907156182e-05,0.004226013460635467,81,38172,0
1.0641653737518616e-05,0.004233080742095636,81,38108,0
1.0708372934118747e-05,0.004244504414808605,81,38005,0
1.0735313589910688e-05,0.004275985852293724,81,37724,0
1.0779447482028145e-05,0.00427677605005412,81,37717,0
1.0800482312390579e-05,0.0042810707962263155,81,37679,0
1.0894142164782651e-05,0.004281183932346723,81,37678,0
1.09078146458883e-05,0.0042817497026562705,81,37673,0
1.0930387351886e-05,0.004330392943063352,81,37248,0
1.100147449828037e-05,0.004335840269785617,81,37201,0
1.1022509328642805e-05,0.004341417660458261,81,37153,0
1.1024047204278072e-05,0.004354721647267547,81,37039,0
1.1073118520063756e-05,0.004355658322802678,81,37031,0
1.109415335042619e-05,0.0047300651113901145,81,34087,0
1.1111801231240639e-05,0.004730893905323715,81,34081,0
1.1116169181034877e-05,0.004740862134558544,81,34009,0
1.1160303073152332e-05,0.0047430830039525695,81,33993,0
1.1182875779150035e-05,0.004754776789645153,81,33909,0
1.1187813202818262e-05,0.004754916348693865,81,33908,0
1.1262846610879859e-05,0.004807406967772568,81,33536,0
1.1274997755906839e-05,0.004880988249472733,81,33028,0
1.1280843857062325e-05,0.004883931263189628,81,33008,0
1.1311242943010189e-05,0.00488555143399982,81,32997,0
1.1356506463271931e-05,0.004896034816247582,81,32926,0
1.1377541293634366e-05,0.004908793406460214,81,32840,0
1.1382886964793574e-05,0.0049143030486880025,81,32803,0
1.139553853981683e-05,0.004914750318548632,81,32800,0
1.1404902795402261e-05,0.00491504854368932,81,32798,0
1.1405559641578066e-05,0.0049169878896409384,81,32785,0
1.1425089086832388e-05,0.004917137133491167,81,32784,0
1.144875394684086e-05,0.005168948023355987,81,31179,0
1.1471201146026438e-05,0.005169607811851805,81,31175,0
1.1476546817185646e-05,0.005170267768806051,81,31171,0
1.151533503814389e-05,0.005229348913780302,81,30817,0
1.151874893922446e-05,0.005243057803094051,81,30736,0
1.1520254324332573e-05,0.005285481239804241,81,30488,0
1.1539783769586895e-05,0.005285653691800712,81,30487,0
1.1563448629595366e-05,0.005331227169513279,81,30225,0
1.1563731370274223e-05,0.00533140261962746,81,30224,0
1.1577495175457671e-05,0.005332982190473056,81,30215,0
1.1584239202918416e-05,0.0053361441417701504,81,30197,0
1.1630029720898396e-05,0.0053451233997624395,81,30146,0
1.1633443621978967e-05,0.005346005346005345,81,30141,0
1.166169944818651e-05,0.005352540804863542,81,30104,0
1.166627490800175e-05,0.00535944685215205,81,30065,0
1.1667707824976668e-05,0.005362995332207765,81,30045,0
1.1671155027849743e-05,0.005369750406045941,81,30007,0
1.1677577514096424e-05,0.005370462456489309,81,30003,0
1.1677899055310488e-05,0.005428408672050398,81,29681,0
1.1684272154184214e-05,0.005428954423592492,81,29678,0
1.1698933885672923e-05,0.005429136365159691,81,29677,0
1.1742799049633127e-05,0.005431502715751358,81,29664,0
1.1759934760393822e-05,0.005522413499232998,81,29173,0
1.1761367677368742e-05,0.005522790031704906,81,29171,0
1.1776394130941017e-05,0.0055231666155262345,81,29169,0
1.1782402507731176e-05,0.005524485063429272,81,29162,0
1.1782607111071902e-05,0.0055265581823764195,81,29151,0
1.179227219685093e-05,0.005628126737076154,81,28622,0
1.1792593738064997e-05,0.005634194692727716,81,28591,0
1.1828517383954279e-05,0.0056347826086956525,81,28588,0
1.1829983602721703e-05,0.005663147591414389,81,28444,0
1.1836727630182449e-05,0.005663939584644431,81,28440,0
1.1876266963463974e-05,0.005665524235853675,81,28432,0
1.1897301793826408e-05,0.00567127603710835,81,28403,0
1.191876333526578e-05,0.005707842999083927,81,28220,0
1.1920196252240702e-05,0.005708647543872013,81,28216,0
1.1922177236346351e-05,0.005709653543862122,81,28211,0
1.1932527140449232e-05,0.0057118679923841755,81,28200,0
1.1980923472579561e-05,0.005719531139669539,81,28162,0
1.1990961646218482e-05,0.005722157465296174,81,28149,0
1.201673141317807e-05,0.005726607515288628,81,28127,0
1.2026186992841302e-05,0.005736340781133812,81,28079,0
1.203489093499521e-05,0.005737356566085847,81,28074,0
1.2035095538335937e-05,0.005737559766247565,81,28073,0
1.2052567494362945e-05,0.0057544757033248075,81,27990,0
1.205728877900011e-05,0.0057552934489128885,81,27986,0
1.2065127745308401e-05,0.006584562858188025,81,24441,0
1.2074583324971632e-05,0.006585633562339932,81,24437,0
1.2081005811218314e-05,0.006586436818994958,81,24434,0
1.2094769616401764e-05,0.00659206510681587,81,24413,0
1.2146227346755017e-05,0.006621163199411452,81,24305,0
1.2149790221090445e-05,0.006669685866029889,81,24127,0
1.2149966098401253e-05,0.006690344428842818,81,24052,0
1.2171983461754615e-05,0.0067014147431124355,81,24012,0
1.2178973889130606e-05,0.006845263246852025,81,23504,0
1.2185015567713266e-05,0.006877228731533367,81,23394,0
1.2188429468793837e-05,0.006878688803023226,81,23389,0
1.2233411899843595e-05,0.006891564214914707,81,23345,0
1.2243625950793325e-05,0.0068921506062539885,81,23343,0
1.226466078115576e-05,0.006893323688353687,81,23339,0
1.2293668571885114e-05,0.00689537754320252,81,23332,0
1.2315269972576705e-05,0.006902428632296549,81,23308,0
1.2331379977755885e-05,0.006907431885046689,81,23291,0
1.2335955437571126e-05,0.006908610175273999,81,23287,0
1.23472580436658e-05,0.006910378364543786,81,23281,0
1.2402454525665284e-05,0.006919528446950282,81,23250,0
1.2420159710299964e-05,0.006921006536506173,81,23245,0
1.2429615289963198e-05,0.006921302230197385,81,23244,0
1.242996465533121e-05,0.006921597949156163,81,23243,0
1.2460717076122e-05,0.006922189462889374,81,23241,0
1.2498197913523655e-05,0.007041947402738536,81,22843,0
1.2504998063392814e-05,0.007048381482770622,81,22822,0
1.2536491913370121e-05,0.007057285994336746,81,22793,0
1.2553394395523144e-05,0.0070692965613545124,81,22754,0
1.2582402186252498e-05,0.007071456632764416,81,22747,0
1.2588443864835156e-05,0.007074235807860263,81,22738,0
1.2591857765915727e-05,0.0070745447399449745,81,22737,0
1.2598657915784885e-05,0.007081348078856493,81,22715,0
1.2610704399939022e-05,0.007083515522518584,81,22708,0
1.2619692746147324e-05,0.007112750263435195,81,22614,0
1.2647054247915214e-05,0.0071146245059288534,81,22608,0
1.265118659612463e-05,0.007114936975712591,81,22607,0
1.2667240539345345e-05,0.007116812370952862,81,22601,0
1.268641194274745e-05,0.007125890736342041,81,22572,0
1.2696125563700894e-05,0.007130595536775386,81,22557,0
1.2704364252331094e-05,0.0071403385049365305,81,22526,0
1.2718698269698594e-05,0.0071428571428571435,81,22518,0
1.2725399082693529e-05,0.007144747287642234,81,22512,0
1.2726969308569483e-05,0.007157057654075546,81,22473,0
1.273480827487778e-05,0.007202560910545971,81,22330,0
1.2750686340787689e-05,0.007202881152460984,81,22329,0
1.2760900391737417e-05,0.007204482789291113,81,22324,0
1.2781935222099853e-05,0.007204803202134757,81,22323,0
1.2810820246455399e-05,0.0072064056939501785,81,22318,0
1.2826390655431376e-05,0.007207688200747464,81,22314,0
1.2830269404533584e-05,0.007208008898776419,81,22313,0
1.2848654418699984e-05,0.007217321571772253,81,22284,0
1.2863192827203053e-05,0.007220860262981949,81,22273,0
1.2885853654517006e-05,0.007226335980016059,81,22256,0
1.2903850900699471e-05,0.007235049796793356,81,22229,0
1.2908426360514708e-05,0.007236019296051456,81,22226,0
1.2919728966609379e-05,0.007237312365975697,81,22222,0
1.2977887509957562e-05,0.007237959074256098,81,22220,0
1.2979513506909079e-05,0.007240547063555914,81,22212,0
1.2989097979405548e-05,0.007242489270386267,81,22206,0
1.3000548337271513e-05,0.007244108572195144,81,22201,0
1.3014132697060913e-05,0.0072457285982646035,81,22196,0
1.302475856358486e-05,0.0072515666965085055,81,22178,0
1.3048096130469536e-05,0.00725448927499888,81,22169,0
1.3051157528692453e-05,0.007260341504952269,81,22151,0
1.3070668836467237e-05,0.007272727272727273,81,22113,0
1.308984023986934e-05,0.007274033496475238,81,22109,0
1.3094208189663585e-05,0.007275340189518122,81,22105,0
1.3099553860822783e-05,0.0072759937121042,81,22103,0
1.3118418415976932e-05,0.007278608976951072,81,22095,0
1.311900301890097e-05,0.007279263086946753,81,22093,0
1.3130397605691374e-05,0.007280571659700689,81,22089,0
1.3135997246736059e-05,0.007300914867727252,81,22027,0
1.3138342081781037e-05,0.007306183195778649,81,22011,0
1.3139453246339366e-05,0.007307501466011096,81,22007,0
1.3162790813224044e-05,0.007311459132554047,81,21995,0
1.3165852211446965e-05,0.00731343957383414,81,21989,0
1.3207246246555565e-05,0.0073137697516930025,81,21988,0
1.3213400004644988e-05,0.007314099959366112,81,21987,0
1.3229657099128129e-05,0.007351272859282116,81,21875,0
1.3233113098731439e-05,0.0073522737587364976,81,21872,0
1.3250691929490563e-05,0.007352941176470588,81,21870,0
